Model,distance,SNR,mcs_choice
3,32.0769,0,0
5,8.3317,0,0
1,12.5813,0,0
3,21.0184,4.03222,0
3,21.8599,0,0
5,10.4162,4.93084,0
4,25.2716,3.93259,0
3,31.7742,0,0
2,12.657,0,0
3,12.7477,0,0
2,15.9122,0,0
3,16.3175,0,0
2,27.2069,0,0
4,32.1782,0,0
4,6.1986,0,0
6,17.3737,6.56873,1
4,18.6818,0,0
2,17.8896,0,0
5,19.7213,3.78935,0
5,26.5913,0,0
5,21.0655,0,0
4,14.726,4.46705,0
5,28.3338,0,0
1,26.3879,0,0
1,16.7535,0,0
1,14.4674,7.88385,2
5,18.5081,5.64906,1
6,13.7476,0,0
2,30.8622,0,0
3,33.1925,3.40325,0
2,28.456,0,0
2,33.1166,0,0
4,28.0854,5.51369,0
3,27.3857,5.76739,1
2,32.3823,0,0
2,27.0349,0,0
1,8.8484,0,0
2,22.691,0,0
3,25.0706,3.73823,0
2,89.3507,49.4706,9
5,97.2751,0,5
3,8.86836,30.49,9
6,32.842,0,1
2,40.2607,33.2075,9
4,63.8013,0,0
3,33.2667,11.7837,2
3,80.6496,23.8022,7
3,31.9329,38.3997,9
5,3.83025,41.1516,9
5,1.73977,11.273,2
3,61.7417,16.5288,3
3,8.87464,37.7402,9
4,81.3275,51.863,9
5,78.7055,0,5
3,47.4013,0,0
6,6.3353,2.7342,0
3,64.757,6.12913,1
3,7.0139,43.4432,9
3,60.0507,42.6095,9
2,53.0097,35.4273,9
2,7.3244,8.9439,0
2,8.13641,38.0364,9
4,75.7765,3.97769,0
4,96.92,52.7625,9
3,18.692,34.2013,9
2,86.9823,35.3686,9
3,31.3399,45.1098,9
6,91.837,0,1
5,69.6669,0,5
5,3.90943,37.1158,9
3,69.1217,39.8466,9
5,98.5681,0,4
3,8.97412,12.2363,2
4,28.0427,4.66523,0
2,18.6617,22.2992,5
6,13.6572,22.3321,4
3,14.8941,49.487,9
6,28.7362,15.384,3
6,26.4425,0,6
3,9.36218,14.2322,3
4,61.9873,0,0
3,18.5517,42.0424,9
2,91.971,49.5165,9
5,68.8737,0,5
5,88.1175,0,0
4,7.2821,0,0
2,71.5705,0,0
5,5.66221,30.3976,7
3,37.1562,13.8199,3
3,83.2998,38.0323,9
2,41.937,0,0
4,21.1827,42.1634,9
4,25.0048,53.59,9
5,43.8518,19.3499,3
3,31.6098,43.0157,9
5,71.5822,5.10064,0
6,75.688,0,1
3,36.6887,26.0631,7
3,48.1339,12.7416,2
3,32.0924,0,0
4,4.20067,48.8288,9
3,25.0904,43.3521,9
4,60.4051,27.3765,5
3,26.991,23.1388,6
3,71.1265,13.2778,3
5,11.3698,39.2233,9
5,58.8011,0,5
3,83.398,42.6016,9
3,56.0199,21.7589,5
2,0.876955,59.5199,9
5,77.8445,0,5
6,15.031,0,6
4,3.13755,45.7938,9
2,88.6378,0,0
5,56.8574,0,5
4,83.8464,42.23,9
5,61.674,0,5
3,95.9209,17.7585,4
4,80.5057,21.5263,3
5,99.4943,7.82065,1
3,71.01,27.6981,8
5,81.1385,0,5
4,58.7179,15.6551,1
3,97.9195,32.9948,9
2,20.4505,8.72327,0
3,23.26,29.026,8
4,98.9221,12.0093,1
2,14.748,37.1621,9
3,6.62663,41.8584,9
3,45.5379,41.9945,9
5,87.0873,0,5
3,60.2987,12.4155,2
5,20.8794,12.3523,1
5,78.4036,0,3
3,64.0547,6.13219,1
2,42.5842,40.5381,9
2,15.0499,29.7355,6
6,81.3707,0,1
5,55.0997,0,4
4,90.8694,0,0
2,66.3081,3.02205,0
5,44.7811,0,0
4,23.1566,0,0
5,79.0421,0,4
4,84.3952,30.0743,6
5,38.2933,14.3541,1
6,32.8315,0,1
4,43.6428,24.8228,4
4,69.8085,4.05631,0
5,42.99,13.7356,1
6,67.329,0,1
5,16.135,0,0
6,87.4054,0,1
6,74.4328,0,1
4,10.8016,11.9372,1
3,9.57828,19.9468,5
